userIP,userMAC,APNAME,APMAC,startTime,endTime
10.131.195.241,1,lbw118-win-lap1231-1,00:16:9d:a7:20:50,1333929823,1333929823
10.131.252.219,2,lbw118-win-lap1231-1,00:16:9d:a7:20:50,1333929823,1333929823
10.131.168.129,3,lbw118-win-lap1231-2,00:16:9d:a7:48:70,1333929819,1333929823
10.131.195.241,1,lbw118-win-lap1231-1,00:16:9d:a7:20:50,1333929823,1333929826
10.131.195.241,1,lbw118-win-lap1231-1,00:16:9d:a7:20:50,1333929826,1333929828
10.131.168.129,3,lbw118-win-lap1231-2,00:16:9d:a7:48:70,1333929823,1333929829
10.131.195.241,1,lbw118-win-lap1231-1,00:16:9d:a7:20:50,1333929828,1333929830
10.131.252.219,2,lbw118-win-lap1231-1,00:16:9d:a7:20:50,1333929823,1333929830
10.0.0.19,4,hgs230-win-lap1142-1,00:23:eb:81:c7:b0,1333929824,1333929831
10.131.168.129,3,lbw118-win-lap1231-2,00:16:9d:a7:48:70,1333929829,1333929833
10.128.94.162,5,arch120-win-lap3502-1,c0:62:6b:d5:bb:60,1333929827,1333929833
10.131.195.241,1,lbw118-win-lap1231-1,00:16:9d:a7:20:50,1333929830,1333929833
10.130.129.241,6,cse211a-win-lap1142-1,00:23:eb:ae:2d:a0,1333929831,1333929833
10.131.29.116,7,tur1128-win-lap1231-1,00:0a:b8:46:64:e0,1333929829,1333929833
10.131.252.219,2,lbw118-win-lap1231-1,00:16:9d:a7:20:50,1333929830,1333929833
10.131.168.129,3,lbw118-win-lap1231-2,00:16:9d:a7:48:70,1333929833,1333929833
10.131.141.10,8,fli237a-win-lap1242-1,00:1d:71:22:a8:c0,1333929828,1333929834
10.131.141.10,8,unknown,00:00:00:00:00:00,1333929834,1333929834
10.131.141.10,8,clb130-win-lap3502-3,58:35:d9:65:71:30,1333929834,1333929834
